,Country,Total,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,alpha-3,UN Code
44,Norway,5192,15,7,15,23,25,12,27,30,28,62,85,91,150,243,147,159,153,182,203,326,425,296,419,420,475,576,598,NOR,578
45,Ireland,5104,9,5,12,11,16,14,22,51,76,125,159,167,177,189,203,173,185,175,240,338,367,321,289,411,507,452,410,IRL,372
46,Morocco,4833,3,3,4,8,10,6,6,10,3,2,8,24,22,16,20,22,54,71,135,118,308,598,508,882,947,375,670,MAR,504
47,New Zealand,4567,15,30,24,33,41,32,44,50,28,83,106,130,131,187,128,171,209,226,234,230,314,314,342,404,394,331,336,NZL,554
48,Algeria,4401,1,2,8,6,5,15,16,27,14,31,46,43,72,70,158,76,79,127,142,260,232,291,426,567,591,558,538,DZA,12
49,Tunisia,4301,1,5,9,11,14,7,21,13,11,22,33,35,65,84,93,90,94,121,172,203,375,504,467,292,594,385,580,TUN,788
50,Ukraine,3997,4,6,9,5,3,4,13,58,10,57,11,58,20,68,21,72,73,78,114,164,333,361,286,473,502,814,380,UKR,804
51,Slovakia,3679,14,18,25,28,17,31,25,32,41,38,45,59,119,126,170,159,159,173,187,253,300,327,253,286,245,195,354,SVK,703
52,Philippines,3353,,,1,2,1,2,2,3,2,5,4,5,2,3,3,13,10,21,51,30,175,239,239,871,504,670,495,PHL,608
53,Colombia,3272,3,,,1,6,4,9,7,7,11,45,28,44,59,85,123,107,152,218,201,258,245,399,350,371,309,230,COL,170
54,Iraq,3209,,,1,,,,,,,,2,7,9,8,9,15,15,24,40,44,128,125,187,477,482,548,1088,IRQ,368
55,Bulgaria,2902,11,13,15,11,7,8,30,12,13,25,31,108,55,103,91,99,103,84,70,74,132,132,135,239,453,382,466,BGR,100
56,Serbia,2745,7,5,3,3,10,16,13,11,16,39,86,53,85,120,128,128,161,125,147,199,151,166,170,191,201,279,232,SRB,688
57,Chile,2610,4,6,3,9,11,8,13,17,12,21,38,33,69,75,80,95,71,99,131,157,187,174,165,443,217,285,187,CHL,152
58,Jordan,2519,4,1,5,6,5,11,2,14,12,14,15,25,87,64,63,56,43,28,40,89,89,109,191,275,293,403,575,JOR,400
59,Slovenia,2486,26,31,24,33,36,31,30,49,48,47,88,71,104,105,108,99,91,137,139,143,128,170,162,162,125,139,160,SVN,705
60,Sri Lanka,2434,,1,1,,,1,1,2,4,6,38,4,6,6,3,9,6,13,59,27,157,132,150,399,418,459,532,LKA,144
61,Argentina,2380,4,5,4,12,32,14,24,17,21,33,36,55,71,71,84,62,82,96,112,107,264,262,137,220,327,118,110,ARG,32
62,Macao,1949,,,,,,,6,5,2,11,23,12,25,38,39,49,55,88,76,92,141,173,179,180,160,265,330,MAC,446
63,Croatia,1941,6,3,3,5,18,3,5,8,7,24,43,114,81,108,46,34,45,52,64,85,91,119,165,154,177,133,348,HRV,191
64,Ecuador,1791,,,1,,,,,1,,,2,1,,4,5,5,7,8,23,101,110,198,411,285,313,175,141,ECU,218
65,Nigeria,1788,,1,,,,,,3,4,1,4,7,17,19,13,28,17,13,28,28,55,96,127,417,212,339,359,NGA,566
66,Peru,1737,1,,,,,,,,,2,1,1,7,2,6,14,2,15,12,41,42,118,154,236,284,393,406,PER,604
67,Qatar,1704,,,,,,1,1,,4,2,6,5,17,27,13,21,30,76,80,119,124,144,133,188,255,205,253,QAT,634
68,Cyprus,1304,4,6,5,5,4,8,6,9,6,11,27,21,33,35,39,38,39,51,39,66,74,66,88,118,134,181,191,CYP,196
69,Lebanon,1208,3,6,2,1,4,2,3,1,5,7,24,10,24,34,32,32,34,37,31,118,77,60,136,143,112,130,140,LBN,422
70,Lithuania,1157,1,2,10,3,13,8,4,12,11,16,28,32,75,75,46,53,56,72,70,79,44,53,68,54,128,54,90,LTU,440
71,Estonia,1131,1,2,,,2,1,3,7,6,10,24,21,30,32,37,66,52,46,53,44,63,56,82,106,141,130,116,EST,233
72,Luxembourg,1111,,,,,1,,,3,2,3,18,21,34,29,40,54,47,51,63,58,85,89,74,120,93,104,122,LUX,442
73,Kazakhstan,1084,1,,1,,,,1,1,1,1,,,1,1,1,4,17,8,34,25,43,52,59,172,197,265,199,KAZ,398
74,Latvia,990,1,20,17,13,4,1,,4,1,6,10,11,22,24,37,61,49,44,59,25,54,78,60,66,105,100,118,LVA,428
75,Kuwait,853,3,5,13,11,8,5,13,3,4,5,14,10,28,18,14,17,31,15,34,102,51,55,78,73,61,77,105,KWT,414
76,Oman,817,,2,4,1,2,4,6,3,3,5,3,14,7,26,8,12,31,16,18,20,32,30,106,78,116,117,153,OMN,512
77,Bahrain,700,1,1,2,,,,1,1,1,2,2,4,4,10,10,4,9,11,11,13,14,24,59,75,104,142,195,BHR,48
78,Libya,627,,,1,,1,,,1,,,4,1,5,4,7,4,6,5,8,16,11,20,14,17,93,242,167,LBY,434
79,Venezuela,574,2,2,7,2,11,14,7,8,11,13,49,25,26,24,51,14,20,18,39,31,28,38,38,28,34,22,12,VEN,862
80,Cuba,565,3,,,2,2,3,7,5,3,6,11,9,8,8,38,28,26,24,52,26,35,30,47,64,35,40,53,CUB,192
81,Bosnia and Herzegovina,537,,,,1,,,,1,,2,6,6,6,7,4,24,12,11,20,39,39,53,53,46,74,42,91,BIH,70
82,Macedonia,528,1,1,,3,1,3,3,,3,2,10,9,8,14,7,19,27,18,30,24,25,86,39,53,39,42,61,MKD,807
83,Ethiopia,451,,,,,,,,,,,,,3,,10,2,5,8,4,13,10,27,35,37,46,110,141,ETH,231
84,Malta,413,1,1,,1,1,,,,,2,5,6,4,4,3,9,7,23,10,18,37,33,41,55,55,55,42,MLT,470
85,Palestine,408,,,1,,1,1,,2,1,1,1,3,5,4,7,5,7,6,6,12,15,24,49,45,57,88,67,PSE,275
86,Yemen,400,,,,1,,,,,1,,2,1,,3,2,3,3,4,2,3,10,12,17,78,35,128,95,YEM,887
87,Uzbekistan,394,,1,,,,,,1,,1,,,,1,,1,7,,,1,1,25,5,11,198,74,67,UZB,860
88,Belarus,365,3,21,32,16,5,4,4,11,2,9,2,16,4,7,4,8,10,11,8,27,16,17,14,32,33,20,29,BLR,112
89,Azerbaijan,360,1,,1,2,2,2,1,1,1,1,,2,4,8,2,4,153,9,8,6,7,8,14,36,27,18,42,AZE,31
